Id,Expected
0,2
1,1
2,2
3,2
4,1
5,1
6,1
7,2
8,1
9,2
10,0
11,2
12,1
13,1
14,2
15,1
16,2
17,1
18,2
19,1
20,0
21,1
22,1
23,1
24,2
25,0
26,1
27,2
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,2
40,1
41,2
42,1
43,2
44,2
45,1
46,2
47,1
48,1
49,1
50,1
51,2
52,0
53,1
54,1
55,0
56,2
57,1
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,1
66,2
67,0
68,2
69,1
70,2
71,1
72,2
73,2
74,1
75,2
76,0
77,2
78,1
79,1
80,1
81,1
82,1
83,2
84,1
85,2
86,1
87,2
88,2
89,2
90,2
91,1
92,1
93,2
94,2
95,1
96,1
97,2
98,1
99,2
100,1
101,2
102,1
103,2
104,1
105,1
106,2
107,2
108,0
109,1
110,2
111,1
112,1
113,1
114,1
115,2
116,1
117,2
118,0
119,1
120,1
121,2
122,2
123,2
124,1
125,0
126,1
127,1
128,1
129,2
130,2
131,1
132,1
133,1
134,1
135,1
136,1
137,2
138,1
139,1
140,1
141,1
142,1
143,2
144,1
145,1
146,1
147,2
148,0
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,2
157,1
158,2
159,1
160,0
161,2
162,1
163,0
164,0
165,1
166,2
167,1
168,0
169,2
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,1
180,1
181,1
182,2
183,2
184,1
185,2
186,2
187,1
188,2
189,1
190,2
191,2
192,2
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,2
201,2
202,2
203,2
204,0
205,1
206,2
207,1
208,0
209,2
210,1
211,0
212,1
213,1
214,0
215,2
216,2
217,2
218,2
219,2
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,2
233,2
234,1
235,1
236,2
237,0
238,1
239,2
240,2
241,2
242,1
243,2
244,1
245,0
246,1
247,2
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,2
264,1
265,0
266,2
267,1
268,2
269,1
270,1
271,2
272,1
273,1
274,1
275,1
276,1
277,1
278,2
279,2
280,2
281,1
282,2
283,1
284,2
285,1
286,1
287,1
288,2
289,1
290,1
291,2
292,2
293,1
294,0
295,1
296,0
297,1
298,2
299,1
300,2
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,2
309,2
310,1
311,1
312,1
313,2
314,0
315,1
316,2
317,1
318,1
319,1
320,1
321,1
322,2
323,1
324,0
325,0
326,1
327,1
328,2
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,2
338,0
339,2
340,2
341,0
342,1
343,2
344,1
345,1
346,1
347,1
348,2
349,1
350,2
351,2
352,1
353,2
354,0
355,0
356,1
357,1
358,2
359,1
360,2
361,1
362,1
363,0
364,2
365,2
366,1
367,0
368,0
369,2
370,2
371,1
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,2
380,1
381,1
382,1
383,1
384,2
385,1
386,2
387,1
388,1
389,1
390,2
391,2
392,0
393,1
394,1
395,1
396,2
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,2
405,2
406,1
407,1
408,1
409,1
410,2
411,1
412,1
413,0
414,2
415,1
416,2
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,2
425,2
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,2
435,1
436,2
437,1
438,1
439,2
440,1
441,1
442,0
443,2
444,1
445,1
446,2
447,1
448,1
449,2
450,2
451,1
452,1
453,1
454,2
455,2
456,1
457,2
458,1
459,2
460,2
461,1
462,1
463,1
464,2
465,2
466,2
467,1
468,1
469,1
470,1
471,2
472,1
473,1
474,1
475,1
476,0
477,1
478,2
479,1
480,1
481,1
482,1
483,0
484,2
485,2
486,0
487,2
488,0
489,2
490,0
491,2
492,0
493,1
494,2
495,2
496,1
497,2
498,1
499,0
500,2
501,1
502,1
503,2
504,1
505,1
506,2
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,2
520,2
521,1
522,1
523,1
524,1
525,1
526,2
527,1
528,1
529,1
530,1
531,1
532,2
533,2
534,2
535,2
536,0
537,2
538,2
539,1
540,1
541,2
542,1
543,0
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,2
558,1
559,0
560,2
561,2
562,1
563,1
564,2
565,2
566,2
567,2
568,1
569,1
570,2
571,1
572,1
573,2
574,1
575,2
576,2
577,1
578,2
579,1
580,2
581,1
582,2
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,2
601,1
602,1
603,1
604,1
605,1
606,2
607,1
608,1
609,2
610,2
611,1
612,1
613,2
614,2
615,1
616,1
617,0
618,1
619,1
620,2
621,2
622,1
623,2
624,1
625,2
626,2
627,2
628,2
629,1
630,1
631,2
632,1
633,2
634,2
635,1
636,2
637,2
638,2
639,1
640,0
641,1
642,2
643,1
644,1
645,1
646,1
647,0
648,2
649,2
650,1
651,1
652,1
653,1
654,1
655,2
656,1
657,2
658,2
659,1
660,2
661,1
662,2
663,2
664,1
665,0
666,0
667,2
668,1
669,1
670,1
671,2
672,2
673,2
674,0
675,1
676,1
677,1
678,2
679,1
680,1
681,0
682,2
683,2
684,1
685,1
686,1
687,2
688,1
689,1
690,1
691,2
692,1
693,2
694,1
695,1
696,0
697,1
698,2
699,1
700,1
701,2
702,1
703,1
704,1
705,1
706,2
707,2
708,1
709,0
710,2
711,1
712,1
713,2
714,1
715,2
716,0
717,1
718,1
719,1
720,1
721,1
722,2
723,2
724,1
725,2
726,0
727,1
728,2
729,1
730,1
